Metodo,Tolleranza,Iterazioni,Errore Relativo,Tempo di Calcolo (s),Convergenza
Jacobi,1e-04,2,7.44e-05,0.0000,True
Jacobi,1e-06,3,8.43e-07,0.0011,True
Jacobi,1e-08,5,1.24e-10,0.0020,True
Jacobi,1e-10,6,1.56e-12,0.0014,True
Gauss-Seidel,1e-04,2,2.13e-05,0.1080,True
Gauss-Seidel,1e-06,3,7.50e-08,0.1578,True
Gauss-Seidel,1e-08,4,2.33e-10,0.2011,True
Gauss-Seidel,1e-10,5,6.85e-13,0.2490,True
Gradiente,1e-04,2,7.46e-05,0.0000,True
Gradiente,1e-06,3,8.46e-07,0.0010,True
Gradiente,1e-08,5,1.25e-10,0.0011,True
Gradiente,1e-10,6,1.57e-12,0.0020,True
Gradiente coniugato,1e-04,2,5.23e-05,0.0000,True
Gradiente coniugato,1e-06,3,3.64e-07,0.0000,True
Gradiente coniugato,1e-08,4,2.63e-09,0.0000,True
Gradiente coniugato,1e-10,5,1.82e-11,0.0040,True
