Metodo,Tolleranza,Iterazioni,Errore Relativo,Tempo di Calcolo (s),Convergenza
Jacobi,1e-04,115,1.77e-03,0.0269,True
Jacobi,1e-06,181,1.80e-05,0.0405,True
Jacobi,1e-08,247,1.82e-07,0.0549,True
Jacobi,1e-10,313,1.85e-09,0.0651,True
Gauss-Seidel,1e-04,9,1.82e-02,0.3800,True
Gauss-Seidel,1e-06,17,1.30e-04,0.8139,True
Gauss-Seidel,1e-08,24,1.71e-06,1.0413,True
Gauss-Seidel,1e-10,31,2.25e-08,1.2893,True
Gradiente,1e-04,143,3.46e-02,0.0319,True
Gradiente,1e-06,3577,9.68e-04,0.6405,True
Gradiente,1e-08,8233,9.82e-06,1.4654,True
Gradiente,1e-10,12919,9.82e-08,2.3552,True
Gradiente coniugato,1e-04,49,2.08e-02,0.0058,True
Gradiente coniugato,1e-06,134,2.55e-05,0.0115,True
Gradiente coniugato,1e-08,177,1.32e-07,0.0199,True
Gradiente coniugato,1e-10,200,1.20e-09,0.0208,True
